seven ,我欲去 seven ，敢著鬥買啥轉--來？
Fb,你佇Fb有偌濟朋友啊？
Fb,我明明就是用生日做Fb的登入密碼，哪會一直無法度登入？
facebook,這馬連facebook的董事長攏乖乖聽中國的話，我看咱台灣人以後可能無facebook通用矣。
Twitter,中國佇網路頂是愈來愈有勢力，眼時可能干焦賰twitter猶未受著影響爾爾。
line,到厝了後愛會記得用line敲予我。
iphone,伊好額人啊，手機仔攏嘛用iphone。
iphone,頂擺定定會綴人買apple的產品，開錢若開水咧。但是這馬愛較抾拾，所以我就無閣綴咧痟iphone矣。
IE,你莫用IE啦，用chrome抑是firefox才拍會開
IE,政府的網站喲，愛用IE才會開開啦。
,
,
,
,
DIY,有一个網站專門咧賣DIY的材料，你佇google拍「媠媠DIY」應該就揣會著矣。
3M菜瓜布,無共你騙，3M菜瓜布實在有夠好用的啦！你若有需要乎，會當對我遮提幾塊仔轉去拭看覓。
3M,3M是米國公司，拄開始主要咧賣工業用品，後來沓沓仔轉型，轉做生產生活用品，親像黏布、菜瓜布。最近幾年in閣有咧賣被舖。
nike,請你共我鬥介紹nike上四序的鞋仔是佗一雙。
adidas,Adidas這幾年嘛學nike行
costco,你若欲去買物件，這附近有一間costco，物件俗閣大碗，內底嘛足闊足好踅。
costco,我來共你報路啦。你車對遮駛到第二个路口的時陣乎，會佇倒手爿看著costco，然後佇彼个路口正越，就會通去高速公路矣。
ikea,
,
SK-II Two,
Si-se-too,
,
B&Q,
Internet,
wifi,你tsâng瞑wifi攏無關乎？
wifi,房間內底收袂著wifi，你若欲用手機仔可能愛去客廳用。
Net,
Gordano tsio-tian-noo,
Uniqleue,
KFC,
McDonald,
Fuckyou,
intel,
youtuber,
youtube,
subway,
B1到--ah,
恁車敢停佇B2？,
無，我車停佇B3,
cheese,
pizza,
mega,
giga,
有fu,
Goodbye,
B型肝炎,
A型肝炎,
C型肝炎,
H2N5,
H1N4,
fans,
LED,
OK繃,
PS4,
PS2,
Xbox 360,
Office 2010 word,
用WORD轉出PDF,
用excel管理數,
powerpoint,
google drive,
dropbox,
Oreo,
party,
Pokémon GO,
,
po文,
,
Python,
Javsciprt,
React,
Redux,
webpack,
django,
node.js,
C++,
我是寫C--的,
,
TIIDA,
Toyota  Camry,
T-shirt,
VR,
AI,
TTS,
ABC,
Gogoro,
SOGO,
apple,
VISA,
GDP,
PPT,
BBS,
SOP,
