類型,例句,補充
V-時貌（咧、著、過）,,
,坐--咧。,
,坐咧食。,後接動詞詞組，則不輕讀
,坐--咧就好。,
,坐--咧無要緊。,
疊字,巡巡--咧。,
過句尾,彼號雖然我有想--過。,
過子句,我有想過未來欲創--啥。,
過名詞,我 thai5 過雞仔。,
否定型,阿姨驚妹妹 hah 袂過溝仔。,
,這回逃會過逃袂過啊？,
形容詞,我食--過的料理百百款。,
著名詞,賊仔拄著警察。,
,恁佇佗抾著錢？,
著代名詞,阿土伯有揣著--阮。,
,阿土伯掠著阮。（強調）,
著子句,我影著阿媽出門矣。,
,大兄夢著阿爸四界咧揣你。（強調）,
,我夢著母--仔四界咧揣--你。,
,--人夢著有人攑刀仔按算刣--我。,
,我夢著有人攑刀仔按算刣--人。,
形容詞,我抾--著的錢。,
,我看--著的豬仔。,
,彼號狗走--著真緊。,
句尾,毋通寒--著。,
,神明桌是我硞--著--的。,
,這空喙是去予割--著--的。,
,無細膩予阿木--仔看--著--的。,
回答,有，我有想--著。,
,無呢，我無抾--著。,
否定-補語,無可能啦，哪有人娶袂著。,
,愛相信家己一定 phann7 會著男朋友。,
V+趨向動詞＋趨向補語（來、去）,,
V-轉,今年的清明無轉厝。,
V-轉去,你共這盒餅提轉去分人。,
,阿萬仔轉去食喜酒。,
,看覓有啥通買--轉-去。,看無啥好買--轉-去。
,看無啥好紮轉--去。,
V-轉來,多謝你替阮共阿寶揣--轉-來。,
,頭一个走--轉-來的人有獎品--喔！,
,先走轉--來的人才有通食--喔！,
,多謝你替阮共阿寶揣轉--來。,
V-落,這下害矣，竟然對上尾樓跋--落。,
V-落去,規个面消--落--去，著加食--一-寡-仔。,
,規个面消落--去，著加運動--寡。,
,山頂無地停，愛駛落去山跤揣位。,
V-落來,替我共梯仔搬--落-來。,
,敢跳--落-來--的才叫好膽。,
V-出去,你先行出去等糞掃車。,
,歹人共錢運出去國外。,後接處所賓詞，則不能輕讀。
,飯共我捀出去飯廳食。,
,全部攏搬搬--出去。,
V-出來,伊飛--出來。,
,伊飛--出來予人看。,
,鬥陣共衫提出來洗。,
,共被單挔出來曝曝--咧。,
,我行出來看才注意車已經走矣。,
,我走--出來的時陣，車已經走矣。,
,全部講講--出來。,
,全部共講講--出來。,
,全部攏共倒倒--出來。,
,我物件做會出--來。,
,物件我做會出--來。,
,我看袂出來我寫的作文佗一點無好。,
,我字攏寫袂出--來，敢講無水矣？,
,我差一點仔認袂出--來你是阿火--仔in囝。,
,你門無先開，輪椅捒袂出--來。,
,你先共門開開，輪椅毋才捒會出來客廳。,
V-過來,麻煩伊騎--過-來共我載好無？,
,無我叫伊駛過來載你？（強調）,
,坐佇面頂幌過來幌過去，真歡喜。,
,有胡蠅佇門跤口踅--過來閣踅--過去。,有胡蠅佇門跤口踅過來閣踅過去。
V-起來,伊的頭看--起-來真媠。,
,我的面紅甲看起來若像西瓜。,
,兩爿的講法對袂--起-來。,
V-入,佮伊同入花園。,
,叫恁的人共珠寶全部囥--入-去。,
,行--入-去的人攏死矣。,
V-倚來,坐倚--來免客氣。,
V-斷去,沿線鉸鉸--斷-去。,
V+趨向動詞（來、去）,,
V-去,啥人過身--去？,
,叫阿好姨莫過-去--矣。,
,緊來--去。,
,來去唱歌。,
,好來入--去！,
,等轉--去才閣講。,
V-來,有人倚--來。,
,驚有人走來偷提我的錢包仔。,
,看人行來行去。,
,我起--來--矣。,
,時間到矣，通好落去歇睏。,
,你隨我落來海--裡。,
,起來食飯--無？,
V+程度動詞,活欲枵--死。,
,驚--死。,
,真正有影是氣死人。,
,,
,,
V+結果動詞（死倒開走斷破）,,
死,直直拼暝工，忝死一陣人才甘願？,
,拍斷手骨顛倒勇。,
開,門拍--開。,Mn̂g phah--khui
,共蓋鬥掀掀--開。,
,布全掀開開。,
,水tshia-tshia--倒。,
,水tshia倒tshia甲規桌頂矣啦你。,
V+數詞,加食--兩-碗-仔。,
,酒閣予我啉--幾-杯-仔好--無？,
,,
,,
V+時貌（咧、著、過）,,
V+趨向動詞,,
V+趨向動詞（起、落、出、入、過、轉）＋趨向補語（來、去）,,
V+趨向動詞（來、去、來去）,,
V+程度動詞（死）,,
V+結果動詞（死倒開走斷破）,,
V+數詞（寡、兩杯）,,
,,
,,
有V+轉來、V+轉去，無「V＋轉來去」。,*咱行轉來去花蓮。,
無「拍--死--幾个」。,,
共,彼人無欲愛的，為啥物共擲掉？,
,電子鍋害去矣，就共擲掉無要緊。,
,,
,,
,,
,,
,,
,水tshia-tshia--倒。,
,*水tshia-tshia--倒去。,
,水tshia倒--去。,
