出處,華語,漢字,臺羅,,例句1,例句2,音檔位置
臺灣閩南語常用詞辭典,鋁,a-lú-mih,a-lú-mih,(鋁、輕銀),彼號a-lú-mih鼎誠輕,彼號a-lú-mih仔鼎誠輕,
臺灣閩南語常用詞辭典,阿摩尼亞,a-móo-ní-á,a-móo-ní-á,,便所洗無清氣，a-móo-ní-á味會足重的喔。,,
臺灣閩南語常用詞辭典,老兄,a-ní-khih,a-ní-khih,,A-ní-khih，你按呢講真有咱查埔人的氣口呢。,,
臺灣閩南語常用詞辭典,阿斯匹林,a-sír-phí-lín,a-sír-phí-lín,,頭殼疼會當食一粒a-sír-phí-lín，看會較好無。,,
臺灣閩南語常用詞辭典,阿給,á-geh,á-geh,,咱來去淡水食á-geh。,,
臺灣閩南語常用詞辭典,油豆腐,á-geh,á-geh,,你會當去市仔買一寡á-geh轉來，暗時摻mi-só煮。,,140-147
臺灣閩南語常用詞辭典,打招呼,a̋i-sat-tsuh,a̋i-sat-tsuh,,等一下舅公欲來，你愛出來共人a̋i-sat-tsuh喔。,,
臺灣閩南語常用詞辭典,問候,a̋i-sat-tsuh,a̋i-sat-tsuh,,x,,
臺灣閩南語常用詞辭典,冰淇淋,ái-si̍rh-khu-lín-mù,ái-si̍rh-khu-lín-mù,,這馬熱人到矣，ái-si̍rh-khu-lín-mù的銷路蓋好。,,
臺灣閩南語常用詞辭典,招待,àn-nāi,àn-nāi,,等一下人客會愈來愈濟，你鬥共人àn-nāi一下。,,03:22:00
臺灣閩南語常用詞辭典,引導,àn-nāi,àn-nāi,,今仔日的訂婚桌乎，敢會使請你替我共一寡同窗àn-nāi去in的位仔無？,,03:29:00
臺灣閩南語常用詞辭典,乾脆,a̍t-sá-lih,a̍t-sá-lih,,喔，你雖然是查某囡仔，但是做代誌足a̍t-sá-lih的。,,04:02:00
臺灣閩南語常用詞辭典,阿莎力,a̍t-sá-lih,a̍t-sá-lih,,x,,
臺灣閩南語常用詞辭典,出局,àu-tsuh,àu-tsuh,,你毋知影彼个查某囡仔的個性，按呢逐一定會àu-tsuh的。,,04:14:00
臺灣閩南語常用詞辭典,拔釘器,bá-luh,bá-luh,(拔釘子的器具),鐵釘仔釘歪去矣，你著愛攑bá-luh來共撬予開。,,261-265
臺灣閩南語常用詞辭典,巴士,bá-suh,bá-suh,,咱這馬欲來去水尾 𨑨迌，會當坐bá-suh去。,,05:04:00
臺灣閩南語常用詞辭典,公共汽車,bá-suh,bá-suh,,咱二十幾个人，會當租一台bá-suh去遐。,,05:25:00
臺灣閩南語常用詞辭典,奶油,bá-tah,bá-tah,,你定定用bá-tah𩛩sio̍k-pháng來食，會肥朒朒。,,05:52:00
臺灣閩南語常用詞辭典,小提琴,bai-óo-lín,bai-óo-lín,,你會當用bai-óo-lín演奏一首來予逐家欣賞無？,,06:06:00
臺灣閩南語常用詞辭典,黴菌,ba̋i-khín,ba̋i-khín,,彼水果外口菇生遐爾長乎，ba̋i-khín足濟，毋好食矣，愛擲掉,彼水果外口菇生遐爾長乎，ba̋i-khún足濟，毋好食矣，愛擲掉,06:13:00
臺灣閩南語常用詞辭典,細菌,ba̋i-khín,ba̋i-khín,,你拍咳啾愛用手去掩咧喔，若無ba̋i-khín會四界飛,你拍咳啾愛用手去掩咧喔，若無ba̋i-khún會四界飛,06:43:00
臺灣閩南語常用詞辭典,倒車,bak-kuh,bak-kuh,,你車bak-kuh愛注意後壁有人無。,,06:56:00
臺灣閩南語常用詞辭典,保險桿,bàn-bà,bàn-bà,,這，出車禍了後，車的bàn-bà歪去矣……,,07:08:00
臺灣閩南語常用詞辭典,漫畫,báng-gà,báng-gà,,電視的báng-gà欲開始矣，緊開電視。,,08:15:00
臺灣閩南語常用詞辭典,動畫片,báng-gà,báng-gà,,鄭問的báng-gà足有藝術價值的，歡迎逐家來故宮欣賞。,,08:36:00
臺灣閩南語常用詞辭典,卡通,báng-gà,báng-gà,,x,,
臺灣閩南語常用詞辭典,蓄電池,ba̍t-té-lih,ba̍t-té-lih,,彼電動車乎走袂振動，應該是無電矣。愛共ba̍t-té-lih提出來充電一下。,彼電動車乎走袂振動，應該是無電矣。愛共ba̍t-té-luh挈出來充電一下。,08:58:00
臺灣閩南語常用詞辭典,球棒,bat-tah,bat-tah,,遐有一堆人竟然咧提bat-tah四界舞。,,09:39:00
臺灣閩南語常用詞辭典,維他命,bi-tá-bín,bi-tá-bín,,這馬的人攏食外口較濟，所以蓋濟bi-tá-bín攏有欠。,,10:07:00
臺灣閩南語常用詞辭典,啤酒,bì-lù,bì-lù,,熱人乎，就是來一杯冰涼的bì-lù，予心涼脾土開。,,10:21:00
臺灣閩南語常用詞辭典,彈簧床,biat-tooh,biat-tooh,,x,,
臺灣閩南語常用詞辭典,拳擊,bo̍k-sìn-gù,bo̍k-sìn-gù,,Tsang5看的彼場bo̍k-sìn-gù，才拄開始無偌久就共對手KO去矣。,,665-673
臺灣閩南語常用詞辭典,壞球,bòo-lù,bòo-lù,,有影真奇怪，彼號投手今仔日哪會一直投bòo-lù。,,688-695
臺灣閩南語常用詞辭典,小船,bòo-tòo,bòo-tòo,,x,,
臺灣閩南語常用詞辭典,胸罩,bu-là-jià,bu-là-jià,,這馬一寡予少女穿的bu-là-jià攏有車lè-sù。,,740-745
臺灣閩南語常用詞辭典,圍裙,e-pú-lóng,e-pú-lóng,,你看你規身軀去予油噴甲按呢，你若欲糋物件你著先穿e-pú-lóng。,你先穿e-pú-lóng才閣糋番薯，才毋驚予油噴甲規身軀攏是。,788-794
臺灣閩南語常用詞辭典,汽油,ga-sóo-lín,ga-sóo-lín,,緊來共我鬥看覓這台oo-tóo-bái是毋是有啥問題，ga-sóo-lín的味真重呢。,,811-815
臺灣閩南語常用詞辭典,焦炭,gá-lah,gá-lah,,x,,
臺灣閩南語常用詞辭典,瓦斯,gá-suh,gá-suh,,夭壽喔，後個月gá-suh閣欲起價矣。,你彼號gá-suh是毋是無關？有gá-suh味走出來。,"848-851,856-860"
